travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,tensor_based_rpq,1,6,0.17438175000279443,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,tensor_based_rpq,1,6,0.17646104199957335,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,tensor_based_rpq,1,6,0.17553641599806724,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,tensor_based_rpq,1,6,0.174540166000952,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,ms_bfs_based_rpq,1,6,0.28839687499566935,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,ms_bfs_based_rpq,1,6,0.20352208300027996,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,ms_bfs_based_rpq,1,6,0.2891901660041185,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,ms_bfs_based_rpq,1,6,0.2037064999967697,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,tensor_based_rpq,1,6,0.17824675000156276,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,tensor_based_rpq,1,6,0.1755100840018713,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,tensor_based_rpq,1,6,0.1763174580046325,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,tensor_based_rpq,1,6,0.17608549999567913,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,ms_bfs_based_rpq,1,6,0.31799524999951245,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,ms_bfs_based_rpq,1,6,0.21647145799943246,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,ms_bfs_based_rpq,1,6,0.3201061669969931,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,ms_bfs_based_rpq,1,6,0.21669391699833795,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,tensor_based_rpq,1,6,0.17377033299999312,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,tensor_based_rpq,1,6,0.17501987499417737,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,tensor_based_rpq,1,6,0.17494325000006938,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,tensor_based_rpq,1,6,0.17493145899788942,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,ms_bfs_based_rpq,1,6,0.3310395420048735,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,ms_bfs_based_rpq,1,6,0.28618858299887506,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,ms_bfs_based_rpq,1,6,0.3282485000017914,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,ms_bfs_based_rpq,1,6,0.22223508299794048,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,tensor_based_rpq,1,7,0.17456245799985481,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,tensor_based_rpq,1,7,0.17561454100359697,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,tensor_based_rpq,1,7,0.17804029200488003,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,tensor_based_rpq,1,7,0.17516966699622571,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,ms_bfs_based_rpq,1,7,0.34320833400124684,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,ms_bfs_based_rpq,1,7,0.23725470800127368,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,ms_bfs_based_rpq,1,7,0.3412852500041481,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,ms_bfs_based_rpq,1,7,0.23726612500468036,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,tensor_based_rpq,1,7,0.1778583749983227,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,tensor_based_rpq,1,7,0.17525579199718777,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,tensor_based_rpq,1,7,0.17568274999939604,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,tensor_based_rpq,1,7,0.1763943330006441,0
